title,numworks
Corbin Fisher (Production Studio), 1
The Core (2003), 5
Coriolanus (2011), 14
Corpse Bride (2005), 67
Corrina Corrina (1994), 1
The Counselor (2013), 3
Count of Monte Cristo (2002), 8
The Count of Monte Cristo - All Media Types, 116
Countess Dracula (1971), 3
Country Strong (2010), 2
Courageous (2011), 38
The Court Jester (1955), 1
The Covenant (2006), 226
Cover boy: L'ultima rivoluzione (2006), 1
Cover Girl (1944), 1
Cowboys & Aliens (2011), 16
Coyote Ugly (2000), 2
Cracks (2009), 20
Cradle Will Rock (1999), 1
The Craft (1996), 26
Crash (1996), 2
Crash (2004 Haggis), 1
The Crazies (2010), 5
Crazy Heart - All Media Types, 2
Crazy Moon (1987), 1
Crazy Stupid Love (2011), 14
Creation (UK 2009), 1
Creature from the Black Lagoon (1954), 8
Creep (2014), 1
A Crime (2006), 2
Criminal (2016), 1
The Crimson Ghost (1946), 1
Crimson Peak (2015), 439
Crimson Tide (1995), 1
Critical Care (1997), 1
Critters (Movies), 1
Крокодил Гена и его друзья | Crocodile Gena and his Friends - All Media Types, 1
Crocodile Hunter: Collision Course (2002), 2
Cromwell (1970), 1
The Croods (2013), 22
The Crooked E: The Unshredded Truth About Enron (2003), 1
Crossfire Trail (2001), 4
Crossworlds (1997), 8
Wò Hǔ Cáng Lóng | Crouching Tiger Hidden Dragon (2003), 8
The Crow (1994), 37
The Crow (Movies), 40
The Crow - All Media Types, 60
Crows Zero (Movies), 66
Cruel Intentions (1999), 26
Cruising (1980), 1
Crustacés et coquillages | Cockles & Muscles | Côte d'Azur (2005), 1
Cry Wolf (2005), 1
Cry-Baby (1990), 5
The Crying Game (1992), 11
Cry_Wolf (2005), 3
Cube (1997), 9
Čudesna šuma | The Elm-Chanted Forest (1986), 2
Curious Case of Benjamin Button - All Media Types, 3
Curly Sue (1991), 1
Curly Top (1935), 1
咖喱辣椒 | Curry and Pepper (1990), 1
The Curse of Frankenstein (1957), 3
The Curse of the Cat People (1944), 1
滿城盡帶黃金甲 | Curse of the Golden Flower (2006), 1
The Curse of the Werewolf (1961), 1
Cursed (2005), 19
Cutie Honey - All Media Types, 9
Cutthroat Island (1995), 2
The Cutting Edge (1992), 18
The Cutting Edge 3: Chasing the Dream (2008), 1
Cypher (2002), 1
Czy Lucyna to dziewczyna? (1934), 1
Dylan Dog: Dead of Night (2011), 1
The D Train (2015), 2
d'Artagnan Romances (Three Musketeers Series) - All Media Types, 4673
D.E.B.S. (2004), 52
Da uomo a uomo | Death Rides a Horse (1967), 1
Da Vinci Code (2006), 6
The Da Vinci Code - All Media Types, 18
Dabangg (Movies), 1
Dacii (1967), 1
Daft Punk's Electroma (2006), 5
Dagon (2001), 2
Dahmer (2002), 4
抱きしめたい -真実の物語- | Dakishimetai: Shinjitsu no monogatari (2014), 1
Dallas Buyers Club (2013), 4
The Dam Keeper (2014), 1
Dancer Texas Pop. 81 (1998), 2
Dances with Wolves (1990), 8
Dangerous Beauty (1998), 3
Dangerous Liaisons (1988), 13
A Dangerous Man: Lawrence After Arabia (1990), 8
A Dangerous Method (2011), 10
Daninsky Saga (Movies), 1
The Danish Girl - All Media Types, 8
Dans Une Galaxie Près De Chez Vous, 3
Danton (1983), 1
Daphne (2007), 1
Dare (2009), 1
Daredevil (2003), 97
The Darjeeling Limited (2007), 2
Dark City (1998), 91
The Dark Crystal (1982), 35
Dark Dungeons (2014), 1
Dark Harbor (1998), 31
Dark Shadows (2012), 33
Dark Shadows - All Media Types, 259
Dark Star (1974), 1
The Darkest Hour (2011), 1
Darklight (2004), 16
Darkness Falls (2003), 2
The Darkside | The Dark Side (1987), 1
David Copperfield (1993), 1
David Copperfield (2000), 3
Dawn of Humanity (2015), 1
Dawn of the Dead (1978), 16
Dawn of the Dead (2004), 27
The Dawn Patrol (1938), 1
The Day After Tomorrow (2004), 25
Day Night Day Night (2006), 1
Day of the Dead (1985), 3
Day of the Dead (2008), 2
The Day the Earth Stood Still (1951), 1
The Day the Earth Stood Still (2008), 1
Day Zero (2007), 1
Daybreakers (2009), 9
Daylight Robbery (2008), 1
阿飛正傳 | Days of Being Wild (1990), 2
Days of Thunder (1990), 1
Dazed and Confused (1993), 3
DC Cinematic Universe, 2343
DCU, 81073
De-Lovely (2004), 1
Dead & Breakfast (2004), 3
Dead Bodies (2003), 2
Dead Drop (2013), 3
烈日灼心 | The Dead End (2015), 4
Dead Fish (2005), 20
The Dead Lands (2014), 2
Dead Leaves (2004), 1
Dead Man on Campus (1998), 6
Dead Men Can't Dance (1997), 1
Dead or Alive 2: Toubousha | Dead or Alive 2: Birds (2000), 2
Dead Poets Society (1989), 298
The Dead Pool (1988), 1
Dead Ringers (1988), 3
Dead Silence (2007), 2
The Dead Zone (1983), 1
Deadfall (1993), 1
Deadpool (2016), 479
The Deal (2003), 1
亲爱的阿基米德 | Dear Archimedes (2017), 1
Dear Frankie (2004), 5
Dear Lemon Lima (2009), 2
Dear Wendy (2005), 4
Death and Cremation (2010), 8
Death Becomes Her (1992), 3
Death Machine (1994), 3
Death Note & Related Fandoms, 3943
Death Note (Movies), 30
L: Change the WorLd (2008), 3
Death Proof (2007), 21
Death Race (2008), 14
Death Race 2050 (2017), 1
Death Sentence (2007), 29
Death Takes a Holiday (1934), 1
Deathgasm (2015), 1
Deathwatch (2002), 3
The Debt (2011), 2
Debug (2014), 2
Deceiver (1997), 1
The Decoy Bride (2011), 8
Decoys (2004), 1
Дед Мороз. Битва Магов | Ded Moroz. Bitva Magov | Santa Claus. Battle of Mages (2016), 1
Deep Blue Sea (1999), 5
The Deep Blue Sea (2011), 24
Deep Impact (1998), 6
Deep in My Heart (1954), 1
Deep Red (1994), 2
Deepwater Horizon (2016), 2
The Deer Hunter (1978), 2
Defendor (2009), 1
The Defiant Ones (1958), 1
Defying Gravity (1997), 23
Deliver Us From Evil (2014), 2
Dellamorte Dellamore | Cemetary Man (1994), 1
The Delta Force (1986), 2
Demolition (2015), 1
Demolition Man (1993), 4
Demon Seed (1977), 1
Demon Under Glass (2002), 8
The Departed (2006), 28
Le Dernier Jour (2004), 1
Descendants (2015), 789
The Descent (2005), 6
Desert Hearts (1985), 1
Design for Living (1933), 3
桃花运 | Desires of the Heart (2008), 1
Desperately Seeking Susan (1985), 1
Despicable Me (Movies), 97
Destino (2003), 1
Detachment (2011), 2
狄仁傑 | Dí Rénjié | Detective Dee (Movies), 19
Detention of the Dead (2012), 1
Deuce Bigalow: Male Gigolo (1999), 1
Deuces Wild (2002), 4
Dev.D (2009), 1
Devdas - All Media Types, 1
Čert ví proč | The Devil Knows Why (2003), 1
The Devil Rides Out (1968), 1
The Devil Wears Prada (2006), 953
The Devil's Carnival (Movies), 34
The Devil's Child (1997), 2
Devour (2005), 15
Dhoom 2 (2006), 2
Dhoom | Blast (2004 2006), 4
Diamonds are Forever (1971), 1
Diarios de Motocicleta | Motorcycle Diaries (2004), 2
Diary of the Dead (2007), 2
Dick Tracy (1990), 2
Die Another Day (2002), 10
Die Hard (Movies), 574
Different for Girls (1996), 5
Dil Chahta Hai | Do Your Thing (2001), 3
Dil Se.. (1998), 1
Dilwale (2015), 3
Dinosaur (2000), 2
Dio perdona... io no! | God Forgives... I Don't! (1967), 2
Dirk Pitt & Related Fandoms, 50
The Dirties (2013), 1
Dirty Dancing (1987), 41
Dirty Dancing: Havana Nights (2004), 7
Dirty Grandpa (2016), 1
Dirty Harry (Movies), 4
The Disappearance of Eleanor Rigby (Movies), 1
Disco Pigs (2001), 1
The Dish (2000), 2
Disney - All Media Types, 17522
Disney's Paperman (Video Short), 14
District 9 (2009), 46
Disturbing Behaviour (1998), 1
Diva (1981), 1
Divergent (Movies), 364
Divergent - All Media Types, 920
The Divide (2011), 1
Divine Secrets of the Ya-Ya Sisterhood (2002), 4
Django Unchained (2012), 58
Do Começo ao Fim | From Beginning to End (2009), 8
Do I Love You? (2002), 1
Doctor Dolittle (1967), 5
Doctor Mordrid (1992), 2
Doctor Strange (2016), 512
Doctor Who (TV Movie 1996), 123
Dodgeball: A True Underdog Story (2004), 7
Dog Day Afternoon (1975), 1
Dog Eat Dog (2012), 1
Dog Food (Short Film), 1
Dog Soldiers (2002), 15
A Dog Year (2009), 1
A Dog's Breakfast (2006), 6
A Dog's Purpose (2017), 1
Dogfight (1991), 2
Dogma (1999), 86
髑髏城の七人 | Dokuro-Jo no Shichinin | Seven Souls in Skull Castle, 1
Domino (2005), 1
Don Jon (2013), 6
Don Juan DeMarco (1994), 3
Don't Be Afraid of the Dark (2011), 1
Don't Breathe (2016), 2
Don't Look Under the Bed (1999), 1
Don: The Chase Begins Again (Movies), 6
Donald Strachey Mysteries (Movies), 137
Dong Mau Anh Hung | The Rebel (2007), 3
Donnie Brasco (1997), 1
Donnie Darko (2001), 26
Donovan's Reef (1963), 1
Doodlebug (1997), 1
Doom (2005), 217
Doomsday (2008), 5
Dor | String (2006), 4
Dorian Gray (2009), 15
Dorian Gray - All Media Types, 134
Dostana (2008), 5
Dòu Máah Dáan | Peking Opera Blues (1986), 1
The Double (2013), 2
Double Happiness (1994), 8
Double Indemnity (1944), 1
Double Jeopardy (1999), 3
Double Wedding (1937), 1
Doubt (2008), 20
どうしても触れたくない - ヨネダコウ | Doushitemo Furetakunai | No Touching at All - Yoneda Kou, 3
Down Periscope (1996), 4
Down with Love (2003), 9
Downtime (Reeltime 1995), 5
Dr. Strangelove: Or How I Learned to Stop Worrying and Love the Bomb (1964), 1
Dracula & Related Fandoms, 1694
Dracula (1931), 11
Dracula (1979), 1
Dracula (2006), 1
Dracula 2000 (Movies), 14
Dracula A.D. 1972 (1972), 2
Dracula Has Risen from the Grave (1968), 1
Dracula Untold (2014), 56
Dracula's Daughter (1936), 1
Dracula: Dead and Loving It (1995), 1
Dracula: Prince of Darkness (1966), 2
Dracula: The Dark Prince (2013), 1
Drag Me to Hell (2009), 1
Он - дракон | Dragon (2015), 2
天將雄師 | Dragon Blade (2015), 2
龙之谷：破晓奇兵 | Dragon Nest: Warrior's Dawn (2014), 1
Dragon Squad (2005), 1
Dragonheart (1996), 22
Drake's Venture (1980), 76
Dread (2009), 1
Dream a Little Dream (1989), 3
Dream Boy (2008), 3
Dreamcatcher (2003), 3
The Dreamers (2003), 6
Dredd (2012), 280
Drei Männer im Schnee | Three men in the snow (1955), 2
The Dressmaker (2015), 1
Drillbit Taylor (2008), 1
Drive (2011), 18
Drive Angry (2011), 20
Drive Me Crazy (1999), 2
The Drop (2014), 12
Drop Dead Fred (1991), 13
Drop Dead Gorgeous (1999), 3
Drumline (2002), 3
Drums Along the Mohawk (1939), 1
Du Barry was a Lady (1943), 1
Dú Bì Dāo | One-Armed Swordsman (1967), 3
The Duchess (2008), 11
Due Date (2010), 1
The Dueling Cavalier (Movie), 1
The Duff (2015), 5
Dumbo (1941), 7
Dune (1984), 4
Dune - All Media Types, 175
Dùng Ce Sài Dùhk | Ashes of Time (1994), 1
Dunkirk (2017), 1
După dealuri | Beyond the Hills (2012), 1
Duplicity (2009), 1
Dust (2013), 1
The Dust Storm (2015), 1
Dying of the Light (2014), 5
Dykkerdrengen | The Boy Below (2003), 1
Dylan Dog: Dead of Night (2011), 1
Eyes Wide Shut (1999), 3
E.T.: The Extra-Terrestrial (1982), 7
The Eagle - Ambiguous Fandom, 880
Eagle Eye (2008), 4
The Eagle | The Eagle of the Ninth (2011), 737
The Eagle | The Eagle of the Ninth - All Media Types, 875
Eagles Are Turning People into Horses: The Movie (2009), 1
Earth Girls are Easy (1988), 3
Earth to Echo (2014), 2
The East (2013), 2
Eastern Promises (2007), 102
Easy A (2010), 29
Easy Virtue (2008), 5
Eat Pray Love - All Media Types, 2
Echte Kerle | Regular Guys (1996), 3
Ed Wood (1994), 1
Eddie and the Cruisers (1983), 1
Eddie the Eagle (2016), 15
The Edge of Love (2008), 1
The Edge of Seventeen (2016), 1
Edge of Tomorrow (2014), 73
Edge of Winter (2016), 1
An Education (2009), 7
The Education of Charlie Banks (2007), 4
Edward Scissorhands (1990), 19
Efter brylluppet | After the Wedding (2006), 1
Его звали Роберт | Ego zvali Robert (1967), 1
The Eichmann Show (2015), 2
Eight Below (2006), 1
Eight Crazy Nights (2002), 1
Eight Legged Freaks (2002), 1
Einstein and Eddington (2008), 5
Ek Tha Tiger | Once There Was a Tiger (2012), 2
Ek Villain | The Villain (2014), 1
黑社會 | Election (Movies), 6
Election - All Media Types, 7
Electrick Children (2012), 1
Elektra (2005), 18
Elephant (2003), 2
Elevated (1997), 2
Elf (2003), 1
Elizabeth (Movies), 22
Elizabethtown (2005), 3
Ella Enchanted (2004), 30
Ella Enchanted - All Media Types, 86
Elsker Dig For Evigt | Open Hearts (2002), 1
Elvira Mistress of the Dark (1988), 6
Elysium (2013), 19
Embrace of the Vampire (1995), 1
Emily Brontë's Wuthering Heights (1992), 1
Emperor's New Groove (2000), 56
Empire Records (1995), 174
Emulsion (2014), 2
En Forelskelse | Awakening (2008), 3
En Kort En Lang | Shake It (2001), 5
Enchanted (2007), 72
End of Days (1999), 1
The End of the Affair (1999), 1
End of Watch (2012), 1
Ender's Game - All Media Types, 106
Ender's Game (2013), 11
Enduring Love (2004), 1
Enemy at the Gates (2001), 8
Enemy Mine (1985), 8
Enemy of the State (1998), 1
English Vinglish (2012), 1
Enough Said (2013), 1
Enter the Void (2009), 1
Entrapment (1999), 8
Epic (2013), 134
The Equalizer (2014), 3
Equals (2016), 5
Equilibrium (2002), 99
Eragon (2006), 67
Eraserhead (1977), 2
Erik the Viking (1989), 1
Ernest et Célestine (2012), 2
Ernest et Célestine | Ernest & Celestine (2012), 1
Erskineville Kings (1999), 3
Escalier C (1985), 1
Escape (1940), 3
Escape from New York (Movies), 14
Escape Plan (2013), 22
A escondidas | Hidden Away (2014), 2
El Espinazo del Diablo | The Devil's Backbone (2001), 1
Et mourir de plaisir | Blood and Roses (1960), 1
Eternal Sunshine of the Spotless Mind (2004), 43
Eu não quero voltar sozinho | I Don't Want to Go Back Alone (2010), 22
Eulogy (2004), 4
Europa Report (2013), 2
Evan Almighty (2007), 1
Evening (2007), 4
Event Horizon (1997), 9
Ever After (1998), 27
Everest (2015), 1
Every Which Way But Loose (1978), 1
Everybody Wants Some!! (2016), 16
Everything Is Illuminated (2005), 2
Evidence of Blood, 3
The Evil Dead (1981 2013), 3
Evil Dead (Movies), 169
Evil Dead - All Media Types, 192
Evita - All Media Types, 3
Evolution (2001), 2
前度 | Ex (2010), 4
Ex Machina (2015), 71
Excalibur (1981), 2
eXistenZ (1999), 3
Exit (2006 Lindmark), 1
Exodus: Gods and Kings (2014), 4
The Exorcist (1973), 9
The Expatriate | Erased (2012), 2
The Expedition (2014), 1
The Expendables (Movies), 304
Extremely Dangerous (1999), 2
Extremely Loud & Incredibly Close - All Media Types, 1
Eye of the Beholder (1999), 1
The Eyes of Laura Mars (1978), 1
Eyes Wide Shut (1999), 3
Fury (2014), 69
Få meg på for faen | Turn Me On Dammit! (2011), 2
Fa yeung nin wa | In the Mood for Love (2000), 2
Le fabuleux destin d'Amélie Poulain | Amélie (2001), 9
Façade (2000), 1
Face (1997), 1
Face/Off (1997), 8
Facelift (1984), 3
Faces in the Crowd (2011), 1
The Faculty (1998), 596
Fairy Tale: A True Story (1997), 1
The Fall (2006), 40
怦然星动 | Fall in Love Like a Star (2015), 1
Falling Angels (2003), 1
Falling Down (1993), 1
Falling in Love (1984), 1
The Falls (2013), 2
Fame (1980), 3
The Family (2013), 1
Family Album (1994), 6
The Family Stone (2005), 1
The Fan (1981), 1
Fan (2016), 1
Fan Friction (2015), 1
Fanaa (2006), 1
Fanboys (2008), 8
Fantaghirò | The Cave of the Golden Rose (Movies), 9
Fantasia (1940), 16
Fantasia 2000 (1999), 8
Il fantasma dell'opera | The Phantom of the Opera (1998), 1
Fantastic Beasts and Where to Find Them (Movies), 4136
Fantastic Four, 1135
Fantastic Four (2015), 100
Fantastic Four (Movies 2005-2007), 417
Fantastic Four (Movies), 545
Fantastic Mr. Fox, 9
Le Fantôme de l'Opéra | Phantom of the Opera & Related Fandoms, 1161
Far and Away (1992), 2
Far from the Madding Crowd (2015), 5
Fargo (1996), 2
Fashion (2008), 1
Fast & Furious (2009), 150
Fast & Furious 6 (2013), 102
The Fast and the Furious (2001), 346
Fast and the Furious Series, 1505
The Fast and the Furious: Tokyo Drift (2006), 34
Fast Five (2011), 142
Fast Girls (2012), 2
Faster (2010), 3
The Fate of the Furious (2017), 5
A Father's Choice (2000), 2
Fear in the Night (1947), 1
Feast of Love (2007), 2
Felicity - An American Girl Adventure (2005), 4
女囚さそりシリーズ | Female Convict Scorpion (Movies), 1
Les femmes de l'ombre | Female Agents (2008), 1
Fēngshēng | The Message (2009), 1
FernGully: The Last Rainforest (1992), 22
Ferocious Planet (2011), 9
Ferris Bueller's Day Off (1986), 80
Die fetten Jahre sind vorbei | The Edukators (2004), 4
Fever Pitch (1997), 3
Fever Pitch (2005), 1
A Few Good Men (1992), 2
Few Options (2011), 3
The Field (1990), 1
A Field In England (2013), 1
Field of Dreams (1989), 4
Fierce People (2005), 1
Fifth Element (1997), 48
The Fifth Estate (2013), 29
Fifty Shades of Grey (2015), 42
Fifty Shades of Grey - All Media Types, 209
Fight Club (1999), 122
Fight Club - All Media Types, 159
למלא את החלל | Fill the Void (2012), 1
Film Star (2005), 1
Filth (2013), 11
The Final (2010), 1
Final Destination (Movies), 12
Final Fantasy VII: Advent Children, 591
Final Fantasy: The Spirits Within, 11
Final Girl (2015), 2
The Final Girls (2015), 2
The Final Sacrifice (1990), 1
Finding Dory (2016), 17
Finding Nemo (2003), 39
Finding Neverland (2004), 4
The Finest Hours (2016), 7
Das finstere Tal | The Dark Valley (2014), 2
A Fire in the Sky (1978), 1
Fired Up! (2009), 7
Firestarter - All Media Types, 7
Firewall (2006), 1
The Firm (2009), 1
A Fish Called Wanda (1988), 3
Fish Tank (2009), 13
Flags of Our Fathers (2006), 2
Flammen & Citronen | Flame & Citron (2008), 4
Flash Gordon - All Media Types, 14
Flash Gordon (1936), 1
Flash Gordon (1980), 2
Flash Point (2007), 1
Flashbacks of a Fool (2008), 1
Flashdance (1983), 2
Flatliners (1990), 19
The Flight Before Christmas (2015), 3
Экипаж | Flight Crew (2016), 9
The Flight of Dragons (1982), 3
Flight of the Intruder (1991), 1
Flight of the Navigator (1986), 4
Flight of the Phoenix (2004), 7
Flipper (1996), 1
Flirting (1991), 2
Floating (1997), 11
Flood (2007), 5
Florence Foster Jenkins (2016), 1
Flower & Garnet (2002), 1
Flubber (1997), 3
Flukt | Escape (2012), 1
Flushed Away (2006), 2
The Fly (1986), 6
The Fly II (1989), 1
Fly with the Gold (2012), 2
Flyboys (2006), 1
Flying Down to Rio (1933), 1
Focus (2015), 4
Follow the Fleet (1936), 2
Follow the Stars Home (2001), 1
Fong Sai Yok | The Legend (1993), 2
Foodfight! (2012), 4
The Fool of the World and the Flying Ship (1990), 1
Foolproof (2003), 2
Footloose (1984), 7
Footloose (2011), 2
For All Time (2000), 25
For Me and My Gal (1942), 1
For the Greater Good (1991), 1
For Those Who Hunt the Wounded Down (1996), 4
Forbidden Kingdom (2008), 6
Forbidden Planet (1956), 3
栀子花开 | Forever Young (2015), 3
Forgiveness (2004), 1
Formula 51 | The 51st State (2001), 3
Forrest Gump (1994), 11
The Forsaken (2001), 21
Fort Defiance (1951), 1
Fortune Cookie (1966), 1
The Fountain (2006), 3
Four Brothers (2005), 115
Four Christmases (2008), 1
Four Feathers (2002), 1
Four Rooms (1995), 1
Four Weddings and a Funeral (1994), 14
The Fox and the Hound (1981), 4
Foxcatcher (2014), 1
Foxy Brown (1974), 2
Fracture (2007), 1
Fragile (2005), 1
Frances Ha (2012), 6
Frank (2014), 10
Frank's Cock (1994), 1
Frankenstein & Related Fandoms, 280
Frankenstein (1931), 13
Frankenstein (2004), 1
Frankenstein (Hammer), 9
Frankenstein: The True Story (1973), 1
Frankenweenie (2012), 1
Franklyn (2008), 1
Freaks (1932), 6
Freaky Friday - All Media Types, 3
Freddy vs. Jason (2003), 7
Free State of Jones (2016), 1
Free Willy Series, 11
Freier Fall | Free Fall (2013), 21
The French Lieutenant's Woman (1981), 2
Frequency (2000), 4
Friday the 13th Series (Movies), 106
Fried Green Tomatoes (1991), 41
Friend Request (2016), 1
Friend Request Pending (2011), 3
Friends with Benefits (2011 Movie), 5
Fright Night (1985), 23
Fright Night (2011), 237
Fright Night 2: New Blood (2013), 3
The Frighteners (1996), 5
The Frisco Kid (1979), 2
Fritz the Cat (1972), 1
Frog Prince - All Media Types, 232
From Beyond (1986), 30
From Dusk Till Dawn (1996), 31
From Here To Eternity (1953), 1
From Paris with Love (2010), 25
From Russia with Love (1963), 1
The Frontier Boys (2011), 1
Frost/Nixon (2008), 1
Frozen (2013), 3708
Frozen (US 2010), 1
The Frozen Ghost (1945), 1
Fucking Åmål | Show Me Love (1998), 3
The Fugitive, 34
The Fugitive (1993), 28
Full Metal Jacket (1987), 3
The Full Monty (1997), 4
Fun And Fancy Free (1947), 1
Fung Wan | Storm Riders (Movies), 2
Funny Games (2007), 5
A Funny Thing Happened on the Way to Thor's Hammer (Marvel Short Film), 6
Fur (2006), 7
Furious 7 (2015), 49
Fury (2014), 69
Guys and Dolls (1955), 4
G-Force (2009), 1
G. I. Jane (1997), 9
G.B.F. (2013), 5
G.I. Joe - All Media Types, 192
G.I. Joe: Retaliation (2013), 22
G.I. Joe: Rise of Cobra (2009), 40
Gabriel (2007), 5
Galaxy Quest (1999), 66
Gallipoli (1981), 3
The Game (1997), 6
The Game Plan (2007), 1
Gamer (2009), 9
Gamera (Movies), 4
The Gamers (Movies), 4
The Gamers: Hands of Fate (2013), 1
강남 1970 | Gangnam Blues (2015), 1
Gangs of New York (2002), 25
Gangster No. 1 (2000), 1
Gangster Squad (2013), 6
Garden State (2004), 4
Gardens of the Night (2008), 1
ZERO: Black Blood (2014), 1
Gaslight (1944), 1
Gattaca (1997), 73
The Gay Divorcee (1934), 2
Gayracula (1983), 1
Generation Um (2012), 1
Gentle Gunman (1952), 1
Gentleman's Agreement (1947), 1
Gentlemen Prefer Blondes (1953), 3
Geography Club - All Media Types, 3
Georgia Rule (2007), 1
Germinal (1993), 1
Gerry (2002), 1
Get Him to the Greek (2010), 3
Get Over It (2001), 1
Get Real (1998), 9
Get Smart - All Media Types, 34
Getting Married In Buffalo Jump (1990), 4
Gettysburg (1993), 1
Ghost (1990), 4
The Ghost and Mrs. Muir (1947), 4
Ghost and the Darkness (1996), 4
Ghost Rider (2007), 30
Ghost Shark (2013), 1
Ghost Ship (2002), 17
Ghost World (2001), 8
Ghost Writer (2010), 2
Ghostbusters (2016), 1794
Ghostbusters (Movies 1984-1989), 128
Ghostbusters - All Media Types, 2283
Ghosted (2011), 1
Gia (1998), 1
Gideon's Daughter (2005), 1
The Gift (2015 Edgerton), 3
Gifted (2017), 2
Gilbert & Sullivan & Related Fandoms, 39
Gilda (1946), 5
Ginger Snaps (Movies), 58
Girl Interrupted (1999), 12
The Girl is Mime (2010), 1
The Girl King (2015), 6
The Girl Next Door (2004), 1
The Girl on the Train (2016), 4
A Girl Walks Home Alone at Night (2014), 3
Girl with a Pearl Earring - All Media Types, 5
The Girl with All the Gifts (2016), 1
The Girl With The Dragon Tattoo (2011), 10
Girlfight (2000), 4
Les Girls (1957), 1
愛在魅來1分鐘 | Give Me 1 Minute to Say I Love You, 2
Give My Regards to Broad Street (1984), 1
The Giver (2014), 5
Gladiator (2000), 59
Gladiatress (2004), 1
The Glass Key - All Media Types, 1
Gleaming the Cube (1989), 1
A Glimpse of Hell (2001), 1
Glory (1989), 1
Gnarr (2010), 1
Gnomeo and Juliet (2011), 2
Go (1999), 5
Go Goa Gone (2013), 1
Goal! (Movies), 4
God Bless America (2011), 1
God Save the Queens (2012), 1
God's Not Dead (Movies), 3
The Godfather (1972 1974 1990), 46
Gods and Generals (2003), 1
Gods Of Egypt (2016), 50
Godzilla (1998), 13
Godzilla (2014), 13
Godzilla - All Media Types, 110
シン・ゴジラ | Godzilla Resurgence (2016), 2
Godzilla: Final Wars (2004), 3
五右衛門 | Goemon (2009), 1
Gohatto | Taboo (1999), 2
Gojira | Godzilla (1954), 6
Gold Diggers (1995), 5
The Golden Compass (2007), 30
黄金时代 | The Golden Era (2014), 1
GoldenEye (1995), 159
Goldfinger (1964), 2
Goldrush: A Real Life Alaskan Adventure (1998), 1
Goliyon Ki Rasleela Ram-Leela (2013), 1
Gone (2012), 1
Gone Girl (2014), 16
Gone in Sixty Seconds (2000), 10
Gone With the Wind - All Media Types, 140
Good and Bad at Games (1983), 1
A Good Day For It (2011), 2
The Good Dinosaur (2015), 2
Good King Wenceslas (1994), 2
Good Luck Chuck (2007), 1
The Good Neighbor (2016), 1
Good Night and Good Luck (2005), 1
The Good Shepherd (2006), 1
The Good The Bad and Huckleberry Hound (1988), 5
좋은 놈 나쁜 놈 이상한 놈 | The Good The Bad The Weird (2008), 2
Good Will Hunting (1997), 14
GoodFellas (1990), 2
A Goofy Movie (1995), 15
Goon (2011), 28
The Goonies (1985), 21
Goosebumps (2015), 9
Goosebumps - All Media Types, 23
Gorgo (1961), 1
Gorky Park (1983), 5
Gosford Park (2001), 29
Gossip (2000), 23
Goth (2008), 3
Gothic (1986), 1
Gothika (2003), 3
Goya's Ghosts (2006), 1
Grabbers (2012), 1
The Graduate (1967), 5
Gran Torino (2008), 1
The Grand Budapest Hotel (2014), 46
Grand Canyon (1991), 1
Grand Piano (2013), 1
Les grandes chaleurs | Heat Wave (2009), 1
一代宗師 | The Grandmaster (2013), 1
The Grapes of Wrath (1940), 1
Grave Encounters (Movies), 2
Graveyard Shift (1990), 2
Gravity (2013), 23
Grease (1978), 67
Grease - All Media Types, 82
Grease 2 (1982), 12
The Great Escape (1963), 33
远大前程 | Great Expectations (2016), 1
The Great Gatsby (1974), 19
The Great Gatsby (2013), 163
The Great Mouse Detective (1986), 118
The Great Race (1965), 2
The Great Train Robbery (1903), 1
The Great Wall (2017), 3
The Greatest (2009), 1
The Greatest Store in the World (1999), 1
Green Card (1990), 1
Green Hornet (1940), 2
Green Hornet (2011), 58
Green Lantern (2011), 36
The Green Mile (1999), 9
Green Room (2015), 3
Green Street Hooligans | Hooligans (2005), 24
Gremlins (Movies), 13
The Grey (2011), 1
Grey Gardens (1975), 1
Greystoke: The Legend of Tarzan Lord of the Apes (1984), 2
Gridiron Gang (2006), 3
Grind (2003), 1
Grindhouse (2007), 23
Grosse Point Blank (1997), 19
Groundhog Day (1993), 2
The Grudge (US Movies), 12
The Guardian (2006), 1
Защитники | Guardians (2017), 1
Guardians of Childhood & Related Fandoms, 6672
Guardians of the Galaxy (Movies), 1754
Guardians of the Galaxy - All Media Types, 2135
Guarding Tess (1994), 4
Guess Who's Coming to Dinner (1967), 1
The Guest (2014), 7
A Guide to Recognizing Your Saints (2006), 3
血滴子 | The Guillotines (2012), 1
Gulliver's Travels (1939), 1
Gulliver's Travels (2010), 1
Gumball Rally (1976), 1
Gun Crazy (1950), 1
Gunfight At The O.K. Corral (1957), 1
Gunga Din (1939), 1
Gunless (2010), 13
Gunmen (1994), 1
Guns For Hire (2015), 1
The Guns of Navarone (1961), 6
Guys and Dolls (1955), 4
Hævnen | In a Better World (2010), 6
Hachi: A Dog's Tale (2009), 1
Hackers (1995), 7
Hacksaw Ridge (2016), 19
はだしのゲン | Hadashi no Gen | Barefoot Gen (1983), 1
Haider (2014), 1
Hail Caesar! (2016), 9
La Haine | Hate (1995), 1
Hair (1979), 1
Hairspray (2007), 63
はじまりの日に | Hajimari no hi ni (Short Film 2011), 1
Half Nelson (2006), 1
Hallam Foe - All Media Types, 2
Halloween Movies - All Media Types, 87
Halloween Tree (1993), 2
Halloweentown (1998), 19
